warehouse_id,sku_id,wh_cs_actual,vm_cs_actual
2,19505,254,13
2,19506,2557,135
2,19507,1776,94
2,19544,1568,83
2,20685,110,6
2,20825,164,9
2,20831,155,8
2,20834,0,0
2,20836,543,29
2,20837,0,0
2,20839,457,24
2,21347,0,0
2,21356,1335,70
2,21357,504,27
2,21358,823,43
2,21359,0,0
2,21817,0,3
2,22402,564,30
2,22922,723,38
2,22945,142,8
2,23261,980,52
2,23388,0,4
2,23389,0,5
2,23449,0,0
2,23513,322,17
2,23516,0,4
2,23644,335,18
2,23646,999,53
2,23647,740,39
2,23964,0,5
2,23965,871,46
2,24160,1804,95
2,24161,435,23
2,24166,206,11
2,24209,735,39
2,24210,543,29
2,24284,457,24
2,24285,451,24
2,24613,409,22
2,24614,477,25
2,24615,454,24
2,24643,0,4
2,24691,343,18
2,24745,1455,77
2,24777,1108,58
2,24778,322,17
2,24779,1312,69
2,24835,343,18
2,24836,647,34
2,24842,547,29
2,24844,1238,65
2,24863,0,4
2,24867,936,49
2,24868,817,43
2,25081,624,33
2,25357,425,22
2,25423,0,4
2,25429,1015,53
2,25430,965,51
2,25441,142,8
2,25442,142,8
2,25443,158,8
2,25445,495,26
2,26011,1029,54
2,26012,704,37
2,26013,304,16
2,26080,476,25
2,26081,118,6
2,26125,0,0
2,26126,33,2
2,26127,0,1
2,26395,0,0
2,26397,0,0
2,26399,0,0
2,26401,0,1
2,26403,0,0
2,26630,151,8
2,26634,198,10
2,26759,122,6
2,26935,0,0
2,26936,332,18
2,27155,0,3
2,27179,722,38
2,27180,528,28
2,27181,136,7
2,27208,102,5
2,27330,118,6
2,27701,1476,78
2,27702,1738,92
2,27703,166,9
2,27704,294,16
2,27718,365,19
2,27733,355,19
2,27734,1418,75
2,27735,1324,70
2,27801,57,0
2,27836,0,3
2,27837,252,13
2,29542,571,30
2,29543,188,10
2,29637,104,6
2,29638,0,5
2,29639,218,12
2,29640,142,8
2,29641,332,18
2,29642,104,6
2,29746,0,4
2,30196,685,36
2,30197,809,43
2,30517,365,19
2,30518,523,28
2,30603,410,22
2,30748,118,6
2,30782,0,0
2,30866,161,9
2,31215,0,0
2,31288,0,4
2,31315,0,4
2,31316,151,8
2,31317,685,36
2,31394,0,0
2,31425,0,3
2,31438,0,0
2,31447,0,0
2,31448,0,0
2,31449,0,0
2,31450,0,0
2,31451,0,0
2,31452,0,0
2,31453,0,0
2,31454,0,0
2,31455,0,0
2,31456,0,0
2,31457,0,0
2,31458,0,0
2,31459,0,0
2,31460,0,0
2,31461,0,0
2,31462,0,0
2,31463,0,0
2,31464,0,0
2,31676,158,8
2,31893,599,32
2,31923,0,0
2,32140,619,33
2,32141,343,18
2,32180,228,12
2,32190,666,35
2,32347,476,25
2,32413,0,4
2,32489,1905,100
2,32507,2726,150
2,32508,952,50
2,32551,121,6
2,32552,166,9
2,32899,609,32
2,32999,0,0
2,33000,0,0
2,33001,0,0
2,33002,0,0
2,33004,0,0
2,33684,0,2
2,33685,0,5
2,908907,0,0
3,1648,0,0
3,5050,0,0
3,5057,0,1
3,5062,0,0
3,5125,946,50
3,5126,0,3
3,5138,0,0
3,5154,154,8
3,5157,471,25
