sku_group_id,item_quantity,vending_machine_id,warehouse_id
15430,5,5139,1
12792,2,3408,1
36637,6,5139,1
19501,3,2034,1
33020,1,144,1
19500,3,2040,1
32597,4,144,1
34397,5,2040,1
20519,7,144,1
22556,7,1830,1
31322,2,144,1
13135,1,1830,1
18105,3,144,1
24337,3,1830,1
33525,3,144,1
13334,4,1830,1
27897,4,144,1
13743,1,1830,1
13007,4,144,1
19311,1,1830,1
25610,4,144,1
17703,1,144,1
33526,2,144,1
33529,2,144,1
33528,8,144,1
27897,3,144,1
19501,3,144,1
19501,3,144,1
32598,2,144,1
18556,2,144,1
23548,2,144,1
19500,2,144,1
33527,8,144,1
27897,3,144,1
18083,1,144,1
32597,3,144,1
25609,4,144,1
12327,4,144,1
32598,1,144,1
19502,3,144,1
27897,1,144,1
32599,3,144,1
31473,1,144,1
25610,3,144,1
32179,3,145,1
12327,1,144,1
33529,2,145,1
13007,2,144,1
32179,3,145,1
16037,3,145,1
20852,10,145,1
33529,3,145,1
22926,3,145,1
12327,2,145,1
27897,4,145,1
21818,2,145,1
18556,3,145,1
33527,5,145,1
17952,3,145,1
16037,3,145,1
21818,5,145,1
20852,10,145,1
20848,10,145,1
13744,3,145,1
31322,3,145,1
12327,4,145,1
32598,3,145,1
33527,2,145,1
13744,3,145,1
23637,2,145,1
12327,5,145,1
32599,2,145,1
13744,3,145,1
33529,4,145,1
25610,3,145,1
16037,3,145,1
32598,6,147,1
12327,2,145,1
33525,4,147,1
25610,5,145,1
14860,4,147,1
12441,3,145,1
20519,8,147,1
21820,3,145,1
17417,1,147,1
33529,4,145,1
14017,3,147,1
32599,3,145,1
14017,5,147,1
31322,4,145,1
33528,8,147,1
12441,3,145,1
32597,3,147,1
22926,2,145,1
33022,1,147,1
17703,1,147,1
22926,3,147,1
27897,3,147,1
20523,6,147,1
32179,3,147,1
15194,5,147,1
17703,1,147,1
31322,4,147,1
32597,3,147,1
15194,5,147,1
12327,6,147,1
12327,5,147,1
18083,1,147,1
26060,6,147,1
33525,3,147,1
19502,5,147,1
33527,5,147,1
20852,12,147,1
12327,3,147,1
27897,3,147,1
32598,7,147,1
32179,4,147,1
13152,1,147,1
17414,1,147,1
14017,6,147,1
14017,6,147,1
33527,7,147,1
19432,8,147,1
32598,4,147,1
13743,6,147,1
25610,8,147,1
32599,4,147,1
27658,5,147,1
33527,5,147,1
20852,8,147,1
13744,6,147,1
31322,3,147,1
17415,1,147,1
19432,3,147,1
20852,12,147,1
34143,5,147,1
17952,4,147,1
33528,5,147,1
31475,1,147,1
14017,3,147,1
13744,6,147,1
33022,1,147,1
32597,4,147,1
23151,4,147,1
33021,1,147,1
20852,14,147,1
13152,1,147,1
17952,4,147,1
19432,4,147,1
23548,6,147,1
27658,4,147,1
13743,4,147,1
19434,3,147,1
32597,4,147,1
13744,6,147,1
33527,4,147,1
33023,1,147,1
26060,7,147,1
19432,3,147,1
33527,4,147,1
33770,6,147,1
23151,4,147,1
13743,5,147,1
26060,4,147,1
19434,2,147,1
19501,2,1830,1
19311,4,147,1
21820,1,1830,1
32348,8,5144,1
36486,2,1830,1
20845,4,5144,1
12795,1,1830,1
19435,5,5144,1
27900,1,1830,1
23638,3,5146,1
16037,3,2096,1
23639,3,5146,1
19501,2,2096,1
30482,4,4798,1
18106,2,1245,1
22926,3,4798,1
13116,3,1246,1
23639,3,3747,1
23639,2,1246,1
40665,2,3748,1
13007,7,2127,1
18106,4,3531,1
32597,5,2127,1
19501,2,3531,1
12327,6,2151,1
23638,4,3531,1
33529,4,167,1
20852,14,3531,1
13744,4,167,1
32599,4,167,1
17952,2,167,1
13744,3,167,1
32599,4,167,1
12327,3,167,1
27897,2,167,1
19500,3,167,1
32597,5,167,1
14860,2,167,1
33527,8,167,1
20523,5,167,1
13743,6,167,1
32599,5,167,1
20852,15,167,1
33529,2,167,1
12854,4,167,1
19502,3,167,1
32599,3,167,1
15141,1,167,1
19500,2,167,1
30941,4,167,1
13135,1,1830,1
12327,3,167,1
19311,1,1830,1
25610,8,167,1
20770,2,1830,1
23151,3,167,1
21820,2,1830,1
32348,18,3748,1
30820,6,1830,1
38049,3,3748,1
12792,2,1830,1
37832,2,3777,1
20850,1,1830,1
30820,2,4799,1
23639,2,1830,1
21851,6,4799,1
36635,2,1830,1
36425,4,4800,1
37994,5,1830,1
30820,3,3531,1
18106,2,1830,1
25609,4,4800,1
36977,15,1830,1
16037,7,2205,1
12792,1,1830,1
13135,3,2205,1
32599,3,179,1
24843,4,2205,1
22926,4,179,1
13744,4,2206,1
12327,5,179,1
36637,3,5159,1
24843,2,179,1
